orderid,productid,customerid,vendorid,sale_date,quantitysold,productsellingprice,totalsale,orderstatus,returndate,productname,category,subcategory,customername,customeremail,shippingaddress,billingaddress,vendorname,vendorphone,vendorrating
44332,11,258,7,2023-01-10,7,6,42,shipped,,Onion,Vegetable,Root,James Knight,dbrown@hotmail.com,91572 Joyce Fort New Ryan AR 18441,91572 Joyce Fort New Ryan AR 18441,Ground Corporations,555.456.7890,4.1
64974,3,454,3,2022-10-13,9,9,81,placed,,Yummy Rock Salt,Groceries,Salt,David Spencer,jonathan76@santos.com,631 Hines Drive Kirstenburgh ND 19567,631 Hines Drive Kirstenburgh ND 19567,Salt Company X,123.456.7890,4.9
84205,9,428,3,2023-03-24,120,3,360,returned,2023-08-19,Apricot,Fruits,Nuts,Jane Doe,jane.doe@email.com,123 Main St. Anytown,123 Main St. Anytown,Hard Nut Unlimited,123.456.3333,4.5
17435,13,318,12,2022-04-25,8,2,16,returned,2023-05-21,Pears,Groceries,Soap,Jane Doe,jane.doe@email.com,123 Main St. Anytown,123 Main St. Anytown,United Soap company,234.456.1234,3.9
79724,4,479,1,2022-04-02,7,7,49,placed,,Onion,Vegetable,Root,James Knight,dbrown@hotmail.com,91572 Joyce Fort New Ryan AR 18441,91572 Joyce Fort New Ryan AR 18441,Ground Corporations,555.456.7890,4.1
47743,19,279,2,2022-06-17,4,8,32,shipped,,Methi,Vegetable,Leafy,Jane Doe,jane.doe@email.com,123 Main St. Anytown,123 Main St. Anytown,Green World,123.111.7890,1.1
71957,15,259,3,2022-01-27,9,2,18,placed,,Yummy Rock Salt,Groceries,Salt,Brandon Bell,hunter88@hotmail.com,437 Lauren Falls Suite 112 Rodriguezport AK 56234,437 Lauren Falls Suite 112 Rodriguezport AK 56234,Salt Company X,123.456.7890,4.9
14164,18,480,14,2022-08-17,11,2,22,shipped,,lime,Fruits,Citrus,Gerald Brown,hudsonmadison@yahoo.com,59013 Gutierrez Lake Jenniferport NE 28083,59013 Gutierrez Lake Jenniferport NE 28083,Health fruits,123.456.3333,4.6
69766,9,154,3,2022-06-21,5,2,10,placed,,Lux,Groceries,Soap,Jane Doe,jane.doe@email.com,123 Main St. Anytown,123 Main St. Anytown,United Soap company,234.456.1234,3.9
94969,2,200,11,2023-01-26,9,1,9,shipped,,Yummy Rock Salt,Groceries,Salt,Jane Doe,jane.doe@email.com,123 Main St. Anytown,123 Main St. Anytown,Salt Company X,123.456.7890,4.9
42344,9,372,9,2023-11-25,4,2,8,returned,2023-11-25,Methi,Vegetable,Leafy,Bob Smith,bob.smith@email.com,45 Oak Ave. Somecity,45 Oak Ave. Somecity,Green World,123.111.7890,1.1
63792,14,481,14,2023-03-15,123,4,492,placed,,BlueBerries,Fruits,Berries,Gerald Brown,hudsonmadison@yahoo.com,59013 Gutierrez Lake Jenniferport NE 28083,59013 Gutierrez Lake Jenniferport NE 28083,Mr Berry Straw,123.555.3333,3.5
51907,15,436,5,2023-09-22,3,10,30,returned,2023-11-25,Spinech,Vegetable,Leafy,Brandon Bell,hunter88@hotmail.com,437 Lauren Falls Suite 112 Rodriguezport AK 56234,437 Lauren Falls Suite 112 Rodriguezport AK 56234,Green World,123.111.7890,1.1
65129,8,168,7,2022-12-14,14,5,70,shipped,,garlic,Vegetable,Allium,James Knight,dbrown@hotmail.com,91572 Joyce Fort New Ryan AR 18441,91572 Joyce Fort New Ryan AR 18441,Allium helium pte ltd,123.456.6666,3.6
89659,1,304,9,2022-11-10,42,6,252,returned,2023-10-12,Orange,Fruits,Citrus,Gerald Brown,hudsonmadison@yahoo.com,59013 Gutierrez Lake Jenniferport NE 28083,59013 Gutierrez Lake Jenniferport NE 28083,Health fruits,123.456.3333,4.6
77508,1,238,7,2023-04-03,136,6,816,returned,2023-04-28,Almond,Fruits,Nuts,Gerald Brown,hudsonmadison@yahoo.com,59013 Gutierrez Lake Jenniferport NE 28083,59013 Gutierrez Lake Jenniferport NE 28083,Hard Nut Unlimited,123.456.3333,4.5
44181,7,379,4,2022-05-31,43,7,301,returned,2023-06-02,Mandarin,Fruits,Citrus,Jane Doe,jane.doe@email.com,123 Main St. Anytown,123 Main St. Anytown,Health fruits,123.456.3333,4.6
77713,9,131,13,2022-06-02,5,1,5,placed,,Lux,Groceries,Soap,Gerald Brown,hudsonmadison@yahoo.com,59013 Gutierrez Lake Jenniferport NE 28083,59013 Gutierrez Lake Jenniferport NE 28083,United Soap company,234.456.1234,3.9
50327,15,477,10,2023-05-03,3,10,30,returned,2023-09-27,Asparagus,Vegetable,Stem,Brandon Bell,hunter88@hotmail.com,437 Lauren Falls Suite 112 Rodriguezport AK 56234,437 Lauren Falls Suite 112 Rodriguezport AK 56234,Solid Stem inc,123.000.8888,2.1
63163,7,210,9,2022-11-20,111,6,666,shipped,,StrawBerries,Fruits,Berries,Brandon Bell,hunter88@hotmail.com,437 Lauren Falls Suite 112 Rodriguezport AK 56234,437 Lauren Falls Suite 112 Rodriguezport AK 56234,Mr Berry Straw,123.555.3333,3.5
68546,12,211,11,2022-12-02,6,8,48,placed,,Cinthol,Groceries,Soap,James Knight,dbrown@hotmail.com,91572 Joyce Fort New Ryan AR 18441,91572 Joyce Fort New Ryan AR 18441,United Soap company,234.456.1234,3.9
48532,4,434,15,2022-11-20,42,5,210,returned,2023-10-02,Orange,Fruits,Citrus,Jamie Martinez,scottchristina@hotmail.com,7115 Smith Plains Apt. 692 West Danielchester FL 1234,7115 Smith Plains Apt. 692 West Danielchester FL 1234,Health fruits,123.456.3333,4.6
58915,17,233,13,2022-09-22,7,5,35,shipped,,50-50,Groceries,Biscuits,Jane Doe,jane.doe@email.com,123 Main St. Anytown,123 Main St. Anytown,Yummy Biscuits Co,444.456.7890,4.3
83397,15,370,14,2023-12-21,136,5,680,returned,2023-12-23,Almond,Fruits,Nuts,Gerald Brown,hudsonmadison@yahoo.com,59013 Gutierrez Lake Jenniferport NE 28083,59013 Gutierrez Lake Jenniferport NE 28083,Hard Nut Unlimited,123.456.3333,4.5
22736,10,333,14,2023-12-14,11,3,33,returned,2023-12-21,lime,Fruits,Citrus,Bob Smith,bob.smith@email.com,45 Oak Ave. Somecity,45 Oak Ave. Somecity,Health fruits,123.456.3333,4.6
54124,13,206,4,2022-04-30,111,2,222,placed,,StrawBerries,Fruits,Berries,Jane Doe,jane.doe@email.com,123 Main St. Anytown,123 Main St. Anytown,Mr Berry Straw,123.555.3333,3.5
49606,16,127,7,2022-09-03,123,1,123,returned,2023-01-12,BlueBerries,Fruits,Berries,Jamie Martinez,scottchristina@hotmail.com,7115 Smith Plains Apt. 692 West Danielchester FL 1234,7115 Smith Plains Apt. 692 West Danielchester FL 1234,Mr Berry Straw,123.555.3333,3.5
42939,4,419,3,2023-03-26,7,7,49,shipped,,Onion,Vegetable,Root,Gerald Brown,hudsonmadison@yahoo.com,59013 Gutierrez Lake Jenniferport NE 28083,59013 Gutierrez Lake Jenniferport NE 28083,Ground Corporations,555.456.7890,4.1
67641,20,450,9,2023-09-01,11,6,66,shipped,,lime,Fruits,Citrus,Bob Smith,bob.smith@email.com,45 Oak Ave. Somecity,45 Oak Ave. Somecity,Health fruits,123.456.3333,4.6
38158,4,134,9,2022-12-21,6,10,60,placed,,Iodized for Health,Groceries,Salt,David Spencer,jonathan76@santos.com,631 Hines Drive Kirstenburgh ND 19567,631 Hines Drive Kirstenburgh ND 19567,Salt Company X,123.456.7890,4.9
60719,15,165,9,2022-05-05,165,4,660,placed,,Cashew,Fruits,Nuts,Bob Smith,bob.smith@email.com,45 Oak Ave. Somecity,45 Oak Ave. Somecity,Hard Nut Unlimited,123.456.3333,4.5
65243,13,387,9,2022-10-24,5,1,5,shipped,,Celery,Vegetable,Stem,Brandon Bell,hunter88@hotmail.com,437 Lauren Falls Suite 112 Rodriguezport AK 56234,437 Lauren Falls Suite 112 Rodriguezport AK 56234,Solid Stem inc,123.000.8888,2.1
46979,10,399,4,2022-06-29,4,1,4,returned,2023-03-20,Methi,Vegetable,Leafy,David Spencer,jonathan76@santos.com,631 Hines Drive Kirstenburgh ND 19567,631 Hines Drive Kirstenburgh ND 19567,Green World,123.111.7890,1.1
43109,17,136,2,2022-12-04,13,1,13,placed,,shallot,Vegetable,Allium,Jane Doe,jane.doe@email.com,123 Main St. Anytown,123 Main St. Anytown,Allium helium pte ltd,123.456.6666,3.6
90392,8,374,14,2023-01-05,11,4,44,returned,2023-09-08,Horlics,Groceries,Biscuits,Jane Doe,jane.doe@email.com,123 Main St. Anytown,123 Main St. Anytown,Yummy Biscuits Co,444.456.7890,4.3
69482,20,500,8,2022-10-10,3,8,24,shipped,,Spinech,Vegetable,Leafy,James Knight,dbrown@hotmail.com,91572 Joyce Fort New Ryan AR 18441,91572 Joyce Fort New Ryan AR 18441,Green World,123.111.7890,1.1
97132,14,425,8,2022-12-09,9,10,90,returned,2023-11-10,Dove,Groceries,Soap,Jane Doe,jane.doe@email.com,123 Main St. Anytown,123 Main St. Anytown,United Soap company,234.456.1234,3.9
44189,10,490,3,2022-02-27,4,6,24,shipped,,Potato,Vegetable,Root,Jane Doe,jane.doe@email.com,123 Main St. Anytown,123 Main St. Anytown,Ground Corporations,555.456.7890,4.1
27827,7,264,14,2023-08-15,4,7,28,returned,2023-08-23,Methi,Vegetable,Leafy,Jane Doe,jane.doe@email.com,123 Main St. Anytown,123 Main St. Anytown,Green World,123.111.7890,1.1
57207,11,207,9,2022-12-06,13,1,13,returned,2023-07-20,shallot,Vegetable,Allium,James Knight,dbrown@hotmail.com,91572 Joyce Fort New Ryan AR 18441,91572 Joyce Fort New Ryan AR 18441,Allium helium pte ltd,123.456.6666,3.6
79509,3,450,5,2023-03-11,4,9,36,returned,2023-09-30,Potato,Vegetable,Root,Jamie Martinez,scottchristina@hotmail.com,7115 Smith Plains Apt. 692 West Danielchester FL 1234,7115 Smith Plains Apt. 692 West Danielchester FL 1234,Ground Corporations,555.456.7890,4.1
77413,5,375,9,2022-10-08,13,8,104,placed,,shallot,Vegetable,Allium,David Spencer,jonathan76@santos.com,631 Hines Drive Kirstenburgh ND 19567,631 Hines Drive Kirstenburgh ND 19567,Allium helium pte ltd,123.456.6666,3.6
24516,11,174,11,2023-05-12,111,3,333,returned,2023-08-22,StrawBerries,Fruits,Berries,Bob Smith,bob.smith@email.com,45 Oak Ave. Somecity,45 Oak Ave. Somecity,Mr Berry Straw,123.555.3333,3.5
34239,1,147,12,2022-06-26,4,7,28,shipped,,Potato,Vegetable,Root,David Spencer,jonathan76@santos.com,631 Hines Drive Kirstenburgh ND 19567,631 Hines Drive Kirstenburgh ND 19567,Ground Corporations,555.456.7890,4.1
24472,12,104,14,2022-07-27,14,8,112,shipped,,garlic,Vegetable,Allium,Jane Doe,jane.doe@email.com,123 Main St. Anytown,123 Main St. Anytown,Allium helium pte ltd,123.456.6666,3.6
71326,10,445,3,2022-07-20,11,6,66,placed,,lime,Fruits,Citrus,David Spencer,jonathan76@santos.com,631 Hines Drive Kirstenburgh ND 19567,631 Hines Drive Kirstenburgh ND 19567,Health fruits,123.456.3333,4.6
33373,16,201,6,2022-03-15,165,10,1650,returned,2022-08-10,Cashew,Fruits,Nuts,David Spencer,jonathan76@santos.com,631 Hines Drive Kirstenburgh ND 19567,631 Hines Drive Kirstenburgh ND 19567,Hard Nut Unlimited,123.456.3333,4.5
71401,3,255,11,2023-11-26,58,6,348,shipped,,Crest,Groceries,Toothpaste,Brandon Bell,hunter88@hotmail.com,437 Lauren Falls Suite 112 Rodriguezport AK 56234,437 Lauren Falls Suite 112 Rodriguezport AK 56234,Best Toothpaste pvt ltd,333.456.7890,3.4
25506,2,381,9,2022-07-03,14,5,70,returned,2022-07-14,garlic,Vegetable,Allium,David Spencer,jonathan76@santos.com,631 Hines Drive Kirstenburgh ND 19567,631 Hines Drive Kirstenburgh ND 19567,Allium helium pte ltd,123.456.6666,3.6
13287,17,291,13,2022-05-18,42,3,126,returned,2022-05-30,Orange,Fruits,Citrus,Gerald Brown,hudsonmadison@yahoo.com,59013 Gutierrez Lake Jenniferport NE 28083,59013 Gutierrez Lake Jenniferport NE 28083,Health fruits,123.456.3333,4.6
95919,19,149,14,2023-10-06,5,5,25,returned,2023-10-11,Celery,Vegetable,Stem,Brandon Bell,hunter88@hotmail.com,437 Lauren Falls Suite 112 Rodriguezport AK 56234,437 Lauren Falls Suite 112 Rodriguezport AK 56234,Solid Stem inc,123.000.8888,2.1
15187,9,120,10,2022-06-19,165,1,165,placed,,Cashew,Fruits,Nuts,Bob Smith,bob.smith@email.com,45 Oak Ave. Somecity,45 Oak Ave. Somecity,Hard Nut Unlimited,123.456.3333,4.5
34517,13,256,11,2022-07-01,7,2,14,placed,,Onion,Vegetable,Root,Jamie Martinez,scottchristina@hotmail.com,7115 Smith Plains Apt. 692 West Danielchester FL 1234,7115 Smith Plains Apt. 692 West Danielchester FL 1234,Ground Corporations,555.456.7890,4.1
44967,11,185,2,2023-12-10,4,2,8,placed,,Methi,Vegetable,Leafy,Jane Doe,jane.doe@email.com,123 Main St. Anytown,123 Main St. Anytown,Green World,123.111.7890,1.1
62593,17,226,9,2022-11-05,22,2,44,returned,2023-12-05,Colgate,Groceries,Toothpaste,Gerald Brown,hudsonmadison@yahoo.com,59013 Gutierrez Lake Jenniferport NE 28083,59013 Gutierrez Lake Jenniferport NE 28083,Best Toothpaste pvt ltd,333.456.7890,3.4
80563,4,186,6,2022-05-09,4,5,20,returned,2023-09-26,Methi,Vegetable,Leafy,Jane Doe,jane.doe@email.com,123 Main St. Anytown,123 Main St. Anytown,Green World,123.111.7890,1.1
18971,15,353,1,2023-10-27,14,4,56,shipped,,garlic,Vegetable,Allium,Bob Smith,bob.smith@email.com,45 Oak Ave. Somecity,45 Oak Ave. Somecity,Allium helium pte ltd,123.456.6666,3.6
39516,7,181,4,2023-07-11,321,10,3210,returned,2023-10-24,RaspBerries,Fruits,Berries,Gerald Brown,hudsonmadison@yahoo.com,59013 Gutierrez Lake Jenniferport NE 28083,59013 Gutierrez Lake Jenniferport NE 28083,Mr Berry Straw,123.555.3333,3.5
33012,16,256,4,2022-01-25,4,2,8,placed,,Methi,Vegetable,Leafy,Jane Doe,jane.doe@email.com,123 Main St. Anytown,123 Main St. Anytown,Green World,123.111.7890,1.1
38431,19,375,9,2022-01-23,111,2,222,returned,2022-06-24,StrawBerries,Fruits,Berries,Jamie Martinez,scottchristina@hotmail.com,7115 Smith Plains Apt. 692 West Danielchester FL 1234,7115 Smith Plains Apt. 692 West Danielchester FL 1234,Mr Berry Straw,123.555.3333,3.5
95797,1,113,8,2023-10-06,123,5,615,shipped,,BlueBerries,Fruits,Berries,Bob Smith,bob.smith@email.com,45 Oak Ave. Somecity,45 Oak Ave. Somecity,Mr Berry Straw,123.555.3333,3.5
24798,2,103,3,2022-12-04,13,10,130,returned,2023-04-30,shallot,Vegetable,Allium,Brandon Bell,hunter88@hotmail.com,437 Lauren Falls Suite 112 Rodriguezport AK 56234,437 Lauren Falls Suite 112 Rodriguezport AK 56234,Allium helium pte ltd,123.456.6666,3.6
65702,19,238,13,2023-04-07,11,6,66,placed,,Horlics,Groceries,Biscuits,Jamie Martinez,scottchristina@hotmail.com,7115 Smith Plains Apt. 692 West Danielchester FL 1234,7115 Smith Plains Apt. 692 West Danielchester FL 1234,Yummy Biscuits Co,444.456.7890,4.3
87715,1,306,7,2022-07-21,33,10,330,returned,2023-01-08,Pepsudent,Groceries,Toothpaste,Jane Doe,jane.doe@email.com,123 Main St. Anytown,123 Main St. Anytown,Best Toothpaste pvt ltd,333.456.7890,3.4
60459,10,172,2,2022-10-25,7,2,14,returned,2023-03-22,Onion,Vegetable,Root,David Spencer,jonathan76@santos.com,631 Hines Drive Kirstenburgh ND 19567,631 Hines Drive Kirstenburgh ND 19567,Ground Corporations,555.456.7890,4.1
65093,18,265,14,2023-05-09,11,5,55,returned,2023-06-01,lime,Fruits,Citrus,Jane Doe,jane.doe@email.com,123 Main St. Anytown,123 Main St. Anytown,Health fruits,123.456.3333,4.6
63313,14,369,9,2023-02-24,9,8,72,placed,,Dove,Groceries,Soap,Jamie Martinez,scottchristina@hotmail.com,7115 Smith Plains Apt. 692 West Danielchester FL 1234,7115 Smith Plains Apt. 692 West Danielchester FL 1234,United Soap company,234.456.1234,3.9
58604,6,373,5,2023-11-23,7,8,56,returned,2023-12-25,Onion,Vegetable,Root,Gerald Brown,hudsonmadison@yahoo.com,59013 Gutierrez Lake Jenniferport NE 28083,59013 Gutierrez Lake Jenniferport NE 28083,Ground Corporations,555.456.7890,4.1
61333,4,221,15,2022-03-16,111,1,111,placed,,StrawBerries,Fruits,Berries,James Knight,dbrown@hotmail.com,91572 Joyce Fort New Ryan AR 18441,91572 Joyce Fort New Ryan AR 18441,Mr Berry Straw,123.555.3333,3.5
21544,20,249,5,2022-12-11,136,1,136,placed,,Almond,Fruits,Nuts,Jane Doe,jane.doe@email.com,123 Main St. Anytown,123 Main St. Anytown,Hard Nut Unlimited,123.456.3333,4.5
13128,20,325,5,2023-05-30,42,4,168,placed,,Orange,Fruits,Citrus,Jane Doe,jane.doe@email.com,123 Main St. Anytown,123 Main St. Anytown,Health fruits,123.456.3333,4.6
76832,5,317,13,2022-11-30,14,3,42,shipped,,garlic,Vegetable,Allium,Jane Doe,jane.doe@email.com,123 Main St. Anytown,123 Main St. Anytown,Allium helium pte ltd,123.456.6666,3.6
26170,7,329,10,2023-10-19,120,8,960,shipped,,Apricot,Fruits,Nuts,David Spencer,jonathan76@santos.com,631 Hines Drive Kirstenburgh ND 19567,631 Hines Drive Kirstenburgh ND 19567,Hard Nut Unlimited,123.456.3333,4.5
30802,6,340,3,2023-11-18,123,1,123,returned,2023-12-17,BlueBerries,Fruits,Berries,James Knight,dbrown@hotmail.com,91572 Joyce Fort New Ryan AR 18441,91572 Joyce Fort New Ryan AR 18441,Mr Berry Straw,123.555.3333,3.5
93566,15,209,2,2023-06-12,136,8,1088,placed,,Almond,Fruits,Nuts,James Knight,dbrown@hotmail.com,91572 Joyce Fort New Ryan AR 18441,91572 Joyce Fort New Ryan AR 18441,Hard Nut Unlimited,123.456.3333,4.5
82339,16,439,5,2023-04-15,136,1,136,shipped,,Almond,Fruits,Nuts,James Knight,dbrown@hotmail.com,91572 Joyce Fort New Ryan AR 18441,91572 Joyce Fort New Ryan AR 18441,Hard Nut Unlimited,123.456.3333,4.5
93840,9,340,12,2023-03-25,15,3,45,shipped,,Free Flow Pizza,Groceries,Salt,James Knight,dbrown@hotmail.com,91572 Joyce Fort New Ryan AR 18441,91572 Joyce Fort New Ryan AR 18441,Salt Company X,123.456.7890,4.9
76783,17,349,1,2022-11-12,4,5,20,shipped,,Methi,Vegetable,Leafy,Gerald Brown,hudsonmadison@yahoo.com,59013 Gutierrez Lake Jenniferport NE 28083,59013 Gutierrez Lake Jenniferport NE 28083,Green World,123.111.7890,1.1
85187,10,424,4,2023-03-27,42,6,252,shipped,,Orange,Fruits,Citrus,Jane Doe,jane.doe@email.com,123 Main St. Anytown,123 Main St. Anytown,Health fruits,123.456.3333,4.6
67997,14,389,9,2022-10-17,43,5,215,shipped,,Mandarin,Fruits,Citrus,Gerald Brown,hudsonmadison@yahoo.com,59013 Gutierrez Lake Jenniferport NE 28083,59013 Gutierrez Lake Jenniferport NE 28083,Health fruits,123.456.3333,4.6
50766,20,413,1,2022-05-26,3,9,27,placed,,Asparagus,Vegetable,Stem,Jane Doe,jane.doe@email.com,123 Main St. Anytown,123 Main St. Anytown,Solid Stem inc,123.000.8888,2.1
21082,17,292,6,2022-09-14,3,7,21,placed,,ParleG,Groceries,Biscuits,Jamie Martinez,scottchristina@hotmail.com,7115 Smith Plains Apt. 692 West Danielchester FL 1234,7115 Smith Plains Apt. 692 West Danielchester FL 1234,Yummy Biscuits Co,444.456.7890,4.3
82551,12,218,15,2023-02-24,42,6,252,placed,,DaburLal,Groceries,Toothpaste,James Knight,dbrown@hotmail.com,91572 Joyce Fort New Ryan AR 18441,91572 Joyce Fort New Ryan AR 18441,Best Toothpaste pvt ltd,333.456.7890,3.4
17763,17,483,8,2022-05-11,58,2,116,returned,2022-09-22,Crest,Groceries,Toothpaste,Jane Doe,jane.doe@email.com,123 Main St. Anytown,123 Main St. Anytown,Best Toothpaste pvt ltd,333.456.7890,3.4
54685,5,288,7,2022-01-05,123,1,123,returned,2023-09-04,BlueBerries,Fruits,Berries,Bob Smith,bob.smith@email.com,45 Oak Ave. Somecity,45 Oak Ave. Somecity,Mr Berry Straw,123.555.3333,3.5
94212,12,122,1,2022-04-19,5,1,5,returned,2023-12-18,Lux,Groceries,Soap,Jane Doe,jane.doe@email.com,123 Main St. Anytown,123 Main St. Anytown,United Soap company,234.456.1234,3.9
15716,20,444,10,2023-01-23,42,2,84,placed,,DaburLal,Groceries,Toothpaste,David Spencer,jonathan76@santos.com,631 Hines Drive Kirstenburgh ND 19567,631 Hines Drive Kirstenburgh ND 19567,Best Toothpaste pvt ltd,333.456.7890,3.4
70365,7,376,14,2023-04-08,123,5,615,placed,,BlueBerries,Fruits,Berries,Bob Smith,bob.smith@email.com,45 Oak Ave. Somecity,45 Oak Ave. Somecity,Mr Berry Straw,123.555.3333,3.5
47184,5,349,12,2022-12-11,321,2,642,shipped,,RaspBerries,Fruits,Berries,Jane Doe,jane.doe@email.com,123 Main St. Anytown,123 Main St. Anytown,Mr Berry Straw,123.555.3333,3.5
70949,9,363,14,2023-07-18,3,7,21,returned,2023-12-19,Asparagus,Vegetable,Stem,Jamie Martinez,scottchristina@hotmail.com,7115 Smith Plains Apt. 692 West Danielchester FL 1234,7115 Smith Plains Apt. 692 West Danielchester FL 1234,Solid Stem inc,123.000.8888,2.1
27312,4,192,9,2022-10-18,9,7,63,shipped,,Dove,Groceries,Soap,Jane Doe,jane.doe@email.com,123 Main St. Anytown,123 Main St. Anytown,United Soap company,234.456.1234,3.9
66753,6,363,3,2022-10-23,15,3,45,shipped,,Free Flow Pizza,Groceries,Salt,Bob Smith,bob.smith@email.com,45 Oak Ave. Somecity,45 Oak Ave. Somecity,Salt Company X,123.456.7890,4.9
29059,1,279,1,2023-01-09,165,3,495,returned,2023-10-10,Cashew,Fruits,Nuts,Gerald Brown,hudsonmadison@yahoo.com,59013 Gutierrez Lake Jenniferport NE 28083,59013 Gutierrez Lake Jenniferport NE 28083,Hard Nut Unlimited,123.456.3333,4.5
21983,8,279,12,2022-08-15,19,6,114,returned,2023-02-20,HidenSeek,Groceries,Biscuits,Brandon Bell,hunter88@hotmail.com,437 Lauren Falls Suite 112 Rodriguezport AK 56234,437 Lauren Falls Suite 112 Rodriguezport AK 56234,Yummy Biscuits Co,444.456.7890,4.3
46001,10,189,14,2023-10-17,7,1,7,returned,2023-12-01,Onion,Vegetable,Root,Jane Doe,jane.doe@email.com,123 Main St. Anytown,123 Main St. Anytown,Ground Corporations,555.456.7890,4.1
54938,14,376,9,2023-08-05,136,8,1088,shipped,,Almond,Fruits,Nuts,Gerald Brown,hudsonmadison@yahoo.com,59013 Gutierrez Lake Jenniferport NE 28083,59013 Gutierrez Lake Jenniferport NE 28083,Hard Nut Unlimited,123.456.3333,4.5
16266,9,201,12,2022-06-01,12,4,48,shipped,,Great Table Salt,Groceries,Salt,David Spencer,jonathan76@santos.com,631 Hines Drive Kirstenburgh ND 19567,631 Hines Drive Kirstenburgh ND 19567,Salt Company X,123.456.7890,4.9
28887,11,463,4,2023-07-11,3,9,27,returned,2023-07-13,Asparagus,Vegetable,Stem,James Knight,dbrown@hotmail.com,91572 Joyce Fort New Ryan AR 18441,91572 Joyce Fort New Ryan AR 18441,Solid Stem inc,123.000.8888,2.1
74191,5,379,14,2022-08-20,136,2,272,placed,,Almond,Fruits,Nuts,Jamie Martinez,scottchristina@hotmail.com,7115 Smith Plains Apt. 692 West Danielchester FL 1234,7115 Smith Plains Apt. 692 West Danielchester FL 1234,Hard Nut Unlimited,123.456.3333,4.5
65488,18,393,4,2023-11-07,6,10,60,returned,2023-12-21,Cinthol,Groceries,Soap,Jane Doe,jane.doe@email.com,123 Main St. Anytown,123 Main St. Anytown,United Soap company,234.456.1234,3.9
98429,9,318,6,2023-04-06,9,4,36,returned,2023-10-13,Dove,Groceries,Soap,Jane Doe,jane.doe@email.com,123 Main St. Anytown,123 Main St. Anytown,United Soap company,234.456.1234,3.9
28212,17,493,11,2023-12-30,3,9,27,returned,2023-12-30,ParleG,Groceries,Biscuits,David Spencer,jonathan76@santos.com,631 Hines Drive Kirstenburgh ND 19567,631 Hines Drive Kirstenburgh ND 19567,Yummy Biscuits Co,444.456.7890,4.3
79280,13,295,4,2022-07-15,8,5,40,shipped,,Pears,Groceries,Soap,Jamie Martinez,scottchristina@hotmail.com,7115 Smith Plains Apt. 692 West Danielchester FL 1234,7115 Smith Plains Apt. 692 West Danielchester FL 1234,United Soap company,234.456.1234,3.9
98665,16,364,2,2022-08-11,4,5,20,placed,,Potato,Vegetable,Root,Brandon Bell,hunter88@hotmail.com,437 Lauren Falls Suite 112 Rodriguezport AK 56234,437 Lauren Falls Suite 112 Rodriguezport AK 56234,Ground Corporations,555.456.7890,4.1
16821,14,361,14,2022-11-27,22,5,110,shipped,,Colgate,Groceries,Toothpaste,Bob Smith,bob.smith@email.com,45 Oak Ave. Somecity,45 Oak Ave. Somecity,Best Toothpaste pvt ltd,333.456.7890,3.4
15446,4,480,11,2022-12-01,3,3,9,shipped,,Asparagus,Vegetable,Stem,Jane Doe,jane.doe@email.com,123 Main St. Anytown,123 Main St. Anytown,Solid Stem inc,123.000.8888,2.1
12600,18,204,2,2023-10-19,42,6,252,shipped,,Orange,Fruits,Citrus,David Spencer,jonathan76@santos.com,631 Hines Drive Kirstenburgh ND 19567,631 Hines Drive Kirstenburgh ND 19567,Health fruits,123.456.3333,4.6
95178,12,246,2,2023-12-04,43,6,258,shipped,,Mandarin,Fruits,Citrus,James Knight,dbrown@hotmail.com,91572 Joyce Fort New Ryan AR 18441,91572 Joyce Fort New Ryan AR 18441,Health fruits,123.456.3333,4.6
89397,2,117,6,2022-08-07,58,4,232,returned,2023-05-21,Crest,Groceries,Toothpaste,Bob Smith,bob.smith@email.com,45 Oak Ave. Somecity,45 Oak Ave. Somecity,Best Toothpaste pvt ltd,333.456.7890,3.4
51135,13,204,8,2023-06-05,14,6,84,shipped,,garlic,Vegetable,Allium,Jane Doe,jane.doe@email.com,123 Main St. Anytown,123 Main St. Anytown,Allium helium pte ltd,123.456.6666,3.6
29053,1,433,6,2022-03-23,6,8,48,returned,2023-06-15,Cinthol,Groceries,Soap,Jane Doe,jane.doe@email.com,123 Main St. Anytown,123 Main St. Anytown,United Soap company,234.456.1234,3.9
84225,6,417,2,2022-05-20,136,2,272,returned,2022-07-01,Almond,Fruits,Nuts,James Knight,dbrown@hotmail.com,91572 Joyce Fort New Ryan AR 18441,91572 Joyce Fort New Ryan AR 18441,Hard Nut Unlimited,123.456.3333,4.5
22994,14,293,3,2022-11-05,120,5,600,returned,2023-01-05,Apricot,Fruits,Nuts,Gerald Brown,hudsonmadison@yahoo.com,59013 Gutierrez Lake Jenniferport NE 28083,59013 Gutierrez Lake Jenniferport NE 28083,Hard Nut Unlimited,123.456.3333,4.5
20419,15,295,8,2023-03-06,321,1,321,shipped,,RaspBerries,Fruits,Berries,James Knight,dbrown@hotmail.com,91572 Joyce Fort New Ryan AR 18441,91572 Joyce Fort New Ryan AR 18441,Mr Berry Straw,123.555.3333,3.5
11743,11,480,10,2022-11-16,3,10,30,placed,,Asparagus,Vegetable,Stem,Gerald Brown,hudsonmadison@yahoo.com,59013 Gutierrez Lake Jenniferport NE 28083,59013 Gutierrez Lake Jenniferport NE 28083,Solid Stem inc,123.000.8888,2.1
